0.002499	0.000000	0.000000	0.009993	0.000000	0.000000	2.500000	45.006690	0.000000	0.000000	-0.001767
0.002499	0.000000	0.000000	0.009993	0.000000	0.000000	2.500000	45.006690	150.000000	150.000000	-0.001767
0.004997	0.000000	0.000000	0.009987	0.000000	0.000000	2.500000	45.010063	150.000000	150.000000	-0.003533
0.007747	-0.000126	0.000667	0.012013	-0.001006	0.005340	2.500000	45.097494	150.000000	150.000000	-0.005567
0.011256	-0.000628	0.003335	0.016060	-0.003011	0.016003	2.500000	45.204693	150.000000	150.000000	-0.008403
0.016028	-0.001754	0.009332	0.022114	-0.005996	0.031975	2.500000	45.292095	150.000000	150.000000	-0.012574
0.022563	-0.003745	0.019983	0.030154	-0.009934	0.053240	2.500000	45.357068	150.000000	150.000000	-0.018603
0.031353	-0.006832	0.036610	0.040150	-0.014779	0.079787	2.500000	45.407543	150.000000	150.000000	-0.027001
0.042886	-0.011232	0.060533	0.052066	-0.020467	0.111611	2.500000	45.450854	150.000000	150.000000	-0.038267
0.057636	-0.017139	0.093071	0.065853	-0.026910	0.148712	2.500000	45.492056	150.000000	150.000000	-0.052874
0.076068	-0.024725	0.135543	0.081452	-0.034002	0.191099	2.500000	45.534577	150.000000	150.000000	-0.071271
0.098630	-0.034123	0.189273	0.098792	-0.041615	0.238782	2.500000	45.580728	150.000000	150.000000	-0.093871
0.125753	-0.045434	0.255587	0.117789	-0.049607	0.291780	2.500000	45.632192	150.000000	150.000000	-0.121047
0.157846	-0.058714	0.335815	0.138344	-0.057824	0.350110	2.500000	45.690212	150.000000	150.000000	-0.153131
0.195295	-0.073975	0.431292	0.160348	-0.066109	0.413787	2.500000	45.755740	150.000000	150.000000	-0.190403
0.238458	-0.091183	0.543357	0.183678	-0.074310	0.482821	2.500000	45.829520	150.000000	150.000000	-0.233091
0.287663	-0.110261	0.673349	0.208201	-0.082285	0.557210	2.500000	45.912119	150.000000	150.000000	-0.281375
0.343203	-0.131089	0.822605	0.233774	-0.089910	0.636938	2.500000	46.003952	150.000000	150.000000	-0.335375
0.405338	-0.153511	0.992455	0.260247	-0.097086	0.721973	2.500000	46.105316	150.000000	150.000000	-0.395166
0.474289	-0.177339	1.184222	0.287462	-0.103737	0.812264	2.500000	46.216378	150.000000	150.000000	-0.460771
0.550238	-0.202358	1.399209	0.315263	-0.109819	0.907738	2.500000	46.337197	150.000000	150.000000	-0.532166
0.633327	-0.228337	1.638702	0.343489	-0.115311	1.008303	2.500000	46.467727	150.000000	150.000000	-0.609288
0.723659	-0.255029	1.903960	0.371984	-0.120218	1.113849	2.500000	46.607822	150.000000	150.000000	-0.692037
0.821298	-0.282181	2.196213	0.400596	-0.124568	1.224248	2.500000	46.757258	150.000000	150.000000	-0.780277
0.926269	-0.309538	2.516656	0.429180	-0.128403	1.339358	2.500000	46.915723	150.000000	150.000000	-0.873848
